Top 10,,,,,,,,,
Fall 2002  Feeder Patterns Undergraduate Transfer,,,,,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,281,,,16.1%,,,,
Brazos,,145,,,8.2%,,,,
Dallas,,77,,,4.4%,,,,
Tarrant,,75,,,4.2%,,,,
Montgomery,,71,,,4.0%,,,,
Bexar,,67,,,3.8%,,,,
Fort Bend,,60,,,3.4%,,,,
Bell,,39,,,2.2%,,,,
Travis,,38,,,2.2%,,,,
Collin,,34,,,1.9%,,,,
State        Students  % Total,,,,,,,,,
Texas,1646,,,93.3%,,,,,
California,8,,,0.5%,,,,,
Louisiana,5,,,0.3%,,,,,
Maryland,3,,,0.2%,,,,,
Ohio,3,,,0.2%,,,,,
North Carolin,3,,,0.2%,,,,,
Oklahoma,3,,,0.2%,,,,,
Idaho,2,,,0.1%,,,,,
Arkansas,2,,,0.1%,,,,,
Washington,2,,,0.1%,,,,,
Country,,,Students  % Total,,,,,,
United States,,,1698,,,,96.3%,,
Indonesia,,,7,,,,0.4%,,
"Korea, Republic of",,,4,,,,0.2%,,
Turkey,,,4,,,,0.2%,,
Honduras,,,4,,,,0.2%,,
Nigeria,,,4,,,,0.2%,,
Hong Kong,,,3,,,,0.2%,,
Ecuador,,,3,,,,0.2%,,
Colombia,,,3,,,,0.2%,,
Pakistan,,,3,,,,0.2%,,
