Top 10,,,,,,,,,
Fall 2007  Feeder Patterns Undergraduate Transfer,,,,,,,,,
State,Students  % Total,,,,,,,,
Texas,1498,,,91.9%,,,,,
Florida,7,,,0.4%,,,,,
Missouri,7,,,0.4%,,,,,
California,6,,,0.4%,,,,,
Alaska,4,,,0.2%,,,,,
Washington,3,,,0.2%,,,,,
Illinois,3,,,0.2%,,,,,
Michigan,2,,,0.1%,,,,,
Mississippi,2,,,0.1%,,,,,
Virginia,2,,,0.1%,,,,,
Country,,,Students  % Total,,,,,,
United States,,,1558,,,,95.6%,,
Nepal,,,10,,,,0.6%,,
Kazakhstan,,,7,,,,0.4%,,
Mexico,,,6,,,,0.4%,,
India,,,4,,,,0.2%,,
Canada,,,3,,,,0.2%,,
Cote d'Ivoire (Ivory Coa,,,3,,,,0.2%,,
Angola,,,2,,,,0.1%,,
Bolivia,,,2,,,,0.1%,,
"China, People's Rep of",,,2,,,,0.0%,,
Texas County   Students  % Total,,,,,,,,,
Harris,,278,,,17.1%,,,,
Brazos,,167,,,10.2%,,,,
Fort Bend,,81,,,5.0%,,,,
Tarrant,,73,,,4.5%,,,,
Bexar,,65,,,4.0%,,,,
Montgomery,,63,,,3.9%,,,,
Dallas,,61,,,3.7%,,,,
Collin,,46,,,2.8%,,,,
Williamson,,29,,,1.8%,,,,
Brazoria,,29,,,1.8%,,,,
