"Summer 2004
Agriculture        WISC
Subtotal
Architecture      ARCH
COMG COSC COSL ENDL ENDS LAND LANL LDEV URPL URSC VIZA
Subtotal
Business            ACCT
Admin               AGBU BUAD BUAG FINC INFO MGMT MISY MKTG MLER
Subtotal",Undergraduate,,Masters,,PhD,,Professional,,Total,,
,"#
2,474
242
87
56
150
7
16
558
459
5
235
2
359
104
233
364
1,761","% chg
-1.6%
21.0%
-26.3%
-32.5%
13.6%
-12.5%
6.7%
0.4%
1.3%
400.0%
-21.1%
100.0%
18.1%
-27.8%
15.3%
-9.5%
-2.4%","#
5
486
90
61
20
19
18
32
240
89
34
76
16
70
24
39
348","% chg
-28.6%
2.1%
-3.2%
96.8%
5.3%
58.3%
50.0%
-3.0%
20.0%
8.5%
-2.9%
-5.0%
-15.8%
52.2%
-27.3%
14.7%
5.8%","#
2
413
24
20
44
15
8
9
21
14
67","% chg
0.0%
-1.4%
4.3%
5.3%
4.8%
-21.1%
-11.1%
-18.2%
-8.7%
27.3%
-8.2%",#,% chg,"#
7
3,373
114
61
242
87
56
150
27
16
19
18
20
32
842
563
5
269
2
443
113
270
70
402
39
2,176","% chg
-22.2%
-1.1%
-1.7%
96.8%
21.0%
-26.3%
-32.5%
13.6%
0.0%
6.7%
58.3%
50.0%
5.3%
-3.0%
5.5%
1.6%
400.0%
-19.2%
100.0%
12.7%
-27.1%
10.7%
52.2%
-9.9%
14.7%
-1.4%",
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
