Top 10,,,,,,,,,
Fall 2003  Feeder Patterns Undergraduate Transfer,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,1643,,,,96.2%,,
Indonesia,,,14,,,,0.8%,,
India,,,9,,,,0.5%,,
"Korea, Republic of",,,6,,,,0.4%,,
Japan,,,4,,,,0.2%,,
Malaysia,,,4,,,,0.2%,,
"China, People's Rep of",,,3,,,,0.2%,,
Pakistan,,,3,,,,0.2%,,
Colombia,,,2,,,,0.1%,,
Hong Kong,,,2,,,,0.0%,,
State,Students  % Total,,,,,,,,
Texas,1589,,,93.0%,,,,,
California,6,,,0.4%,,,,,
Colorado,6,,,0.4%,,,,,
Louisiana,5,,,0.3%,,,,,
Oklahoma,4,,,0.2%,,,,,
Georgia,4,,,0.2%,,,,,
Illinois,3,,,0.2%,,,,,
Arkansas,2,,,0.1%,,,,,
New Mexico,2,,,0.1%,,,,,
Florida,2,,,0.1%,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,293,,,17.2%,,,,
Brazos,,173,,,10.1%,,,,
Dallas,,75,,,4.4%,,,,
Tarrant,,72,,,4.2%,,,,
Bexar,,67,,,3.9%,,,,
Montgomery,,65,,,3.8%,,,,
Fort Bend,,57,,,3.3%,,,,
Brazoria,,32,,,1.9%,,,,
Williamson,,30,,,1.8%,,,,
McLennan,,30,,,1.8%,,,,
