Top 10,,,,,,,,,
Fall 2003  Feeder Patterns Texas A&M University Campus,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,40983,,,,91.5%,,
India,,,890,,,,2.0%,,
"China, People's Rep of",,,683,,,,1.5%,,
"Korea, Republic of",,,651,,,,1.5%,,
Taiwan,,,125,,,,0.3%,,
Mexico,,,120,,,,0.3%,,
Turkey,,,95,,,,0.2%,,
Indonesia,,,87,,,,0.2%,,
Colombia,,,60,,,,0.1%,,
Nigeria,,,56,,,,0.1%,,
State,Students  % Total,,,,,,,,
Texas,38513,,,85.9%,,,,,
Louisiana,309,,,0.7%,,,,,
California,217,,,0.5%,,,,,
New Mexico,113,,,0.3%,,,,,
Illinois,105,,,0.2%,,,,,
Oklahoma,100,,,0.2%,,,,,
Florida,100,,,0.2%,,,,,
Arkansas,89,,,0.2%,,,,,
Colorado,80,,,0.2%,,,,,
Virginia,77,,,0.2%,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,6886,,,15.4%,,,,
Brazos,,2766,,,6.2%,,,,
Dallas,,2386,,,5.3%,,,,
Tarrant,,2236,,,5.0%,,,,
Bexar,,2088,,,4.7%,,,,
Fort Bend,,1369,,,3.1%,,,,
Montgomery,,1182,,,2.6%,,,,
Travis,,1029,,,2.3%,,,,
Collin,,1002,,,2.2%,,,,
Denton,,774,,,1.7%,,,,
