"Spring 2007
Agriculture       WISC
Subtotal
Architecture      ARCH
COMG COSC COSL ENDL ENDS LAND LANL LDEV URPL URSC VIZA
Subtotal
Business            ACCT
Admin               AGBU BUAD BUAG EMBA FINC INFO MGMT MISY MKTG MLER
Subtotal",Undergraduate,,Masters,,PhD,,Professional,,Total,,
,"#
5,142
361
275
332
241
86
56
1,351
633
10
1,615
12
564
139
344
563
3,880","% chg
1.1%
1.7%
5.0%
6.1%
7.1%
28.4%
-5.1%
5.5%
6.7%
100.0%
5.8%
9.1%
-1.2%
-13.1%
-10.6%
2.0%
2.0%","#
13
515
116
79
27
31
35
1
57
346
138
84
88
130
1
29
142
41
59
712","% chg
30.0%
0.0%
1.8%
27.4%
3.8%
106.7%
12.9%
0.0%
-9.5%
10.9%
-0.7%
-39.1%
125.6%
-2.3%
100.0%
31.8%
10.1%
57.7%
1.7%
4.1%","#
2
484
36
45
81
17
13
6
20
13
69","% chg
-33.3%
9.8%
-28.0%
-10.0%
-19.0%
13.3%
44.4%
-33.3%
11.1%
-18.8%
3.0%",#,% chg,"#
15
6,141
152
79
361
275
332
241
113
56
31
35
46
57
1,778
788
10
1,699
12
88
707
146
393
142
617
59
4,661","% chg
15.4%
1.6%
-7.3%
27.4%
1.7%
5.0%
6.1%
7.1%
21.5%
-5.1%
106.7%
12.9%
-9.8%
-9.5%
5.0%
5.5%
100.0%
2.1%
9.1%
125.6%
-0.8%
-13.6%
-7.5%
10.1%
3.9%
1.7%
2.3%",
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
