"Summer 2006
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
3
1
2
6
5
5
9
9
29","Sophomore
1
1
1
1
4
4
1
5
7
7
14
14
60","Junior
2
1
3
1
1
4
1
1
1
3
4
2
18
17
1
2
1
21
16
16
5
5
145","Senior
1
1
2
5
2
10
4
6
7
5
39
29
3
3
35
30
30
241",PB,"Total
1
3
1
5
2
6
2
14
6
1
1
10
12
7
61
53
6
7
1
67
58
58
28
28
475",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,3,3,1,1,3,3,1,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,6,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,6,
,,,,,,,,,,1,1,,,3,
,,,,,,,,,,1,1,,,18,
,,,,,,,,,1,1,1,,,8,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,11,
,,,,,,,,2,2,,,,,14,
,,,,,,,,,,,,,,7,
,,,,,,,1,6,7,4,4,,,72,
,,,,,,,,,,3,3,,,56,
,,,,,,,,4,4,8,8,,,18,
,,,,,,,,2,2,,,,,9,
,,,,,,,,2,2,2,2,,,5,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,9,9,14,14,,,90,
,,,,,,,,,,,,,,61,
,,,,,,,,1,1,2,2,,,3,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,3,3,3,3,65,
,,,,,,,,,,,,,,28,
,,,,,,,,,,,,,,28,
,,,,,,,,6,6,3,3,,,9,
,,,,,,,,6,6,3,3,,,9,
,,,,,,,4,81,85,58,58,3,3,621,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,,,,
