"Summer 2006
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
1
3
1
7
2
10
9
21
17
17
77","Sophomore
1
1
2","Junior
1
1
1
3
7","Senior
1
1
1
1
1
5
25",PB,"Total
1
3
2
1
1
2
4
1
15
2
10
9
21
17
17
1
1
111",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,1,1,1,3,3,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,1,1,,,3,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,2,2,,,5,
,,,,,,,,,,1,1,,,3,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,2,2,,,,,2,
,,,,,,,,,,2,2,,,6,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,3,3,7,7,,,25,
,,,,,,,,,,1,1,,,3,
,,,,,,,,,,3,3,,,13,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,9,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,4,4,,,27,
,,,,,,,,,,,,,,20,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,2,,,,,2,
,,,,,,,2,,2,1,1,3,3,23,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,3,3,,,3,
,,,,,,,,,,3,3,,,3,
,,,,,,,3,28,31,33,33,3,3,178,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,,,,
