"Summer 2006
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
3
1
4
1
2
2
3
3
4
1
16
11
4
3
1
19
8
8
175
175
330","Sophomore
3
2
2
5
12
4
14
25
8
19
2
18
2
30
44
5
171
32
3
4
5
44
33
33
199
199
1,052","Junior
7
3
23
4
37
16
33
77
44
105
2
5
74
8
125
2
124
27
642
97
19
19
5
140
86
86
113
113
3,257","Senior
16
6
39
27
88
20
68
152
108
123
4
20
132
24
167
13
182
69
1,082
149
31
35
13
228
220
220
5,385","PB
2
2
1
1
4
4
24","Total
29
11
65
38
143
41
117
256
160
250
8
26
227
34
322
15
354
102
1,912
293
57
61
24
435
347
347
487
487
10,048",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,19,19,6,6,137,137,54,
,,,,,,,,,,,,,,11,
,,,,,,,,9,9,5,5,,,79,
,,,,,,,,12,12,8,8,,,58,
,,,,,,,,20,22,10,10,,,32,
,,,,,,,2,60,62,29,29,,,234,
,,,,,,,1,14,15,11,11,,,67,
,,,,,,,,1,1,,,,,118,
,,,,,,,1,6,7,21,21,,,284,
,,,,,,,,6,6,7,7,,,173,
,,,,,,,,8,8,27,27,,,285,
,,,,,,,,,,,,,,8,
,,,,,,,,,,1,1,,,27,
,,,,,,,2,9,11,15,15,,,253,
,,,,,,,,2,2,3,3,,,39,
,,,,,,,,2,2,30,30,,,354,
,,,,,,,,,,,,,,15,
,,,,,,,1,17,18,29,29,,,401,
,,,,,,,,3,3,9,9,,,114,
,,,,,,,5,68,73,153,153,,,"2,138",
,,,,,,,1,18,19,22,22,,,334,
,,,,,,,1,42,43,57,57,,,157,
,,,,,,,5,30,35,15,15,,,111,
,,,,,,,,12,12,14,14,,,50,
,,,,,,,,7,7,8,8,,,15,
,,,,,,,7,109,116,116,116,,,667,
,,,,,,,,,,,,,,484,
,,,,,,,,17,17,6,6,,,23,
,,,,,,,,4,4,,,,,4,
,,,,,,,1,10,11,14,14,,,25,
,,,,,,,,3,3,2,2,,,5,
,,,,,,,1,34,35,22,22,137,137,541,
,,,,,,,,,,,,,,487,
,,,,,,,,,,,,,,487,
,,,,,,,1,,1,,,,,1,
,,,,,,,,55,55,53,53,,,108,
,,,,,,,5,,5,,,,,5,
,,,,,,,6,55,61,53,53,,,114,
,,,,,,,99,"1,420","1,519",980,980,137,137,"12,684",
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,,,,
