"Summer 2006
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
4
1
1
1
3
5
5
34
34
83","Sophomore
1
1
2
1
1
2
8
5
1
6
17
17
91","Junior
5
2
1
5
1
5
1
7
2
29
2
2
4
9
9
4
4
112","Senior
2
2
2
4
3
7
2
6
3
4
3
34
8
1
9
2
2
152",PB,"Total
2
2
1
7
8
4
14
4
13
4
15
5
75
15
5
1
1
22
16
16
55
55
438",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,2,2,3,
,,,,,,,,,,1,1,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,4,
,,,,,,,,,,1,1,,,15,
,,,,,,,,,,1,1,,,5,
,,,,,,,,,,2,2,,,15,
,,,,,,,,,,,,,,4,
,,,,,,,,2,2,,,,,17,
,,,,,,,,3,3,3,3,,,11,
,,,,,,,,6,6,7,7,,,88,
,,,,,,,,1,1,,,,,16,
,,,,,,,,2,2,1,1,,,8,
,,,,,,,,1,1,,,,,2,
,,,,,,,,1,1,,,,,2,
,,,,,,,,5,5,1,1,,,28,
,,,,,,,,,,,,,,18,
,,,,,,,,2,2,1,1,,,3,
,,,,,,,,,1,,,,,1,
,,,,,,,1,2,3,1,1,2,2,22,
,,,,,,,,,,,,,,55,
,,,,,,,,,,,,,,55,
,,,,,,,,2,2,1,1,,,3,
,,,,,,,,2,2,1,1,,,3,
,,,,,,,8,77,85,91,91,2,2,616,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,,,,
