"Summer 2006
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
3
3
6
6
33","Sophomore
3
3
17","Junior
1
1
2
1
1
2
1
1
47","Senior
1
1
2
4
2
8
3
3
1
1
126","PB
1","Total
1
2
3
1
2
5
2
10
3
2
5
1
1
6
6
6
6
224",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,18,18,,,20,
,,,,,,,,2,2,4,4,,,6,
,,,,,,,,12,12,15,15,,,29,
,,,,,,,,7,7,10,10,,,17,
,,,,,,,,22,22,47,47,,,72,
,,,,,,,,3,3,,,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,,,4,4,,,6,
,,,,,,,,13,13,27,27,,,45,
,,,,,,,,,,10,10,,,10,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,,,14,14,,,14,
,,,,,,,,,,8,8,,,10,
,,,,,,,,,,5,5,,,5,
,,,,,,,,17,17,69,69,,,96,
,,,,,,,,9,9,15,15,,,27,
,,,,,,,,34,34,57,57,,,93,
,,,,,,,,2,2,33,33,,,35,
,,,,,,,,19,19,57,57,,,76,
,,,,,,,,10,11,17,17,,,28,
,,,,,,,1,74,75,179,179,,,259,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,5,5,,,7,
,,,,,,,,1,1,,,,,1,
,,,,,,,,3,3,11,11,,,14,
,,,,,,,,,,8,8,,,8,
,,,,,,,,6,6,24,24,,,31,
,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,6,
,,,,,,,,31,31,82,82,,,113,
,,,,,,,,,,,,,,6,
,,,,,,,2,,2,,,,,2,
,,,,,,,2,31,33,82,82,,,121,
,,,,,,,12,667,679,"1,228","1,228",,,"2,131",
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,,,,
