Top 10,,,,,,,,,
Fall 2005 Feeder Patterns Undergraduate Transfer,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,"1,517",,,,96.7%,,
"China, People's Rep of",,,6,,,,0.4%,,
Viet Nam Socialist Repu,,,6,,,,0.4%,,
India,,,4,,,,0.3%,,
Japan,,,4,,,,0.3%,,
Nigeria,,,3,,,,0.2%,,
Indonesia,,,2,,,,0.1%,,
Jamaica,,,2,,,,0.0%,,
Venezuela,,,2,,,,0.0%,,
Hong Kong,,,1,,,,0.0%,,
Texas County   Students  % Total,,,,,,,,,
Harris,,256,,,16.3%,,,,
Brazos,,150,,,9.6%,,,,
Fort Bend,,71,,,4.5%,,,,
Dallas,,64,,,4.1%,,,,
Bexar,,64,,,4.1%,,,,
Tarrant,,54,,,3.4%,,,,
Montgomery,,50,,,3.2%,,,,
Travis,,48,,,3.1%,,,,
Collin,,42,,,2.7%,,,,
Williamson,,39,,,2.5%,,,,
State        Students  % Total,,,,,,,,,
Texas,"1,463",,,93.3%,,,,,
Illinois,5,,,0.3%,,,,,
New York,4,,,0.3%,,,,,
Louisiana,4,,,0.1%,,,,,
California,4,,,0.0%,,,,,
North Carolin,4,,,0.0%,,,,,
Alaska,3,,,0.0%,,,,,
Missouri,2,,,0.0%,,,,,
Kentucky,2,,,0.0%,,,,,
Arkansas,2,,,0.0%,,,,,
