Top 10,,,,,,,,,
Fall 2005 Feeder Patterns Texas A&M University Campus,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,"41,103",,,,92.2%,,
India,,,762,,,,1.7%,,
"China, People's Rep of",,,623,,,,1.4%,,
"Korea, Republic of",,,535,,,,1.2%,,
Taiwan,,,142,,,,0.3%,,
Mexico,,,130,,,,0.3%,,
Turkey,,,91,,,,0.2%,,
Indonesia,,,66,,,,0.1%,,
Colombia,,,64,,,,0.1%,,
Canada,,,60,,,,0.1%,,
State,Students  % Total,,,,,,,,
Texas,"38,694",,,86.8%,,,,,
Louisiana,249,,,0.6%,,,,,
California,190,,,0.4%,,,,,
Oklahoma,111,,,0.2%,,,,,
Florida,104,,,0.2%,,,,,
New Mexico,95,,,0.2%,,,,,
Illinois,95,,,0.2%,,,,,
Virginia,84,,,0.2%,,,,,
Missouri,81,,,0.2%,,,,,
Colorado,80,,,0.2%,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,"6,999",,,15.7%,,,,
Brazos,,"2,780",,,6.2%,,,,
Dallas,,"2,378",,,5.3%,,,,
Tarrant,,"2,188",,,4.9%,,,,
Bexar,,"2,091",,,4.7%,,,,
Fort Bend,,"1,494",,,3.4%,,,,
Travis,,"1,179",,,2.6%,,,,
Montgomery,,"1,160",,,2.6%,,,,
Collin,,"1,036",,,2.3%,,,,
Denton,,812,,,1.8%,,,,
