Top 10,,,,,,,,,
Fall 2008  Feeder Patterns Undergraduate Transfer,,,,,,,,,
Country                 Students  % Total,,,,,,,,,
United States,,,1597,,,,95.9%,,
"Korea, Republic of",,,9,,,,0.5%,,
"China, People's Rep of",,,7,,,,0.4%,,
Nepal,,,6,,,,0.4%,,
Canada,,,4,,,,0.2%,,
Hong Kong,,,4,,,,0.2%,,
Mexico,,,4,,,,0.2%,,
Taiwan,,,4,,,,0.2%,,
Viet Nam Socialist Repu,,,4,,,,0.1%,,
India,,,2,,,,0.0%,,
Texas County   Students  % Total,,,,,,,,,
Harris,,307,,,18.4%,,,,
Brazos,,166,,,10.0%,,,,
Fort Bend,,75,,,4.5%,,,,
Montgomery,,64,,,3.8%,,,,
Bexar,,62,,,3.7%,,,,
Tarrant,,60,,,3.6%,,,,
Dallas,,49,,,2.9%,,,,
Collin,,49,,,2.9%,,,,
McLennan,,40,,,2.4%,,,,
Travis,,36,,,2.2%,,,,
State,Students  % Total,,,,,,,,
Texas,1543,,,92.6%,,,,,
California,10,,,0.6%,,,,,
Florida,5,,,0.3%,,,,,
New Mexico,5,,,0.3%,,,,,
Illinois,3,,,0.2%,,,,,
Tennessee,3,,,0.2%,,,,,
Washington,2,,,0.1%,,,,,
Pennsylvania,2,,,0.1%,,,,,
Wisconsin,2,,,0.1%,,,,,
New York,2,,,0.1%,,,,,
