Fall 2008,,Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
"Other - Special        MARM Populations             MDSC
PHLT REEP",,,,,,50,"7
8
14",,,"1
5
8",,,,,,"1
12
16
64",
University,Subtotal Total,"8,093",15,"1,666",409,"50
28,247","29
235","2,373",16,"14
3,174",323,14,"2,971",133,370,"93
48,039",
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
