Top 10,,,,,,,,,
Fall 2008  Feeder Patterns Texas A&M University Campus,,,,,,,,,
State,Students  % Total,,,,,,,,
Texas,41315,,,86.0%,,,,,
California,227,,,0.5%,,,,,
Louisiana,198,,,0.4%,,,,,
Florida,133,,,0.3%,,,,,
Oklahoma,111,,,0.2%,,,,,
Colorado,94,,,0.2%,,,,,
Virginia,94,,,0.2%,,,,,
New Mexico,92,,,0.2%,,,,,
Illinois,91,,,0.2%,,,,,
New York,81,,,0.2%,,,,,
Country,,,Students  % Total,,,,,,
United States,,,43812,,,,91.2%,,
India,,,1161,,,,2.4%,,
"China, People's Rep of",,,819,,,,1.7%,,
"Korea, Republic of",,,512,,,,1.1%,,
Taiwan,,,218,,,,0.5%,,
Mexico,,,127,,,,0.3%,,
Turkey,,,79,,,,0.2%,,
Iran,,,66,,,,0.1%,,
Saudi Arabia,,,61,,,,0.1%,,
Colombia,,,59,,,,0.1%,,
Texas County   Students  % Total,,,,,,,,,
Harris,,7726,,,16.1%,,,,
Brazos,,2873,,,6.0%,,,,
Dallas,,2499,,,5.2%,,,,
Tarrant,,2355,,,4.9%,,,,
Bexar,,2309,,,4.8%,,,,
Fort Bend,,1923,,,4.0%,,,,
Montgomery,,1435,,,3.0%,,,,
Travis,,1390,,,2.9%,,,,
Collin,,1335,,,2.8%,,,,
Denton,,924,,,1.9%,,,,
