Top 10,,,,,,,,,
Fall 2011 Feeder Patterns First Time In College,,,,,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,1541,,,18.7%,,,,
Tarrant,,510,,,6.2%,,,,
Bexar,,503,,,6.1%,,,,
Dallas,,485,,,5.9%,,,,
Fort Bend,,355,,,4.3%,,,,
Travis,,354,,,4.3%,,,,
Collin,,339,,,4.1%,,,,
Montgomery,,246,,,3.0%,,,,
Williamson,,239,,,2.9%,,,,
Denton,,216,,,2.6%,,,,
State,Students  % Total,,,,,,,,
Texas,7904,,,95.8%,,,,,
California,48,,,0.6%,,,,,
Louisiana,27,,,0.3%,,,,,
Colorado,17,,,0.2%,,,,,
Florida,15,,,0.2%,,,,,
Illinois,14,,,0.2%,,,,,
Oklahoma,13,,,0.2%,,,,,
Virginia,12,,,0.1%,,,,,
Arizona,9,,,0.1%,,,,,
Kansas,8,,,0.1%,,,,,
Country            Students  % Total,,,,,,,,,
United States,,,8192,,,99.2%,,,
"China, People's Rep",,,13,,,0.2%,,,
India,,,8,,,0.1%,,,
"Korea, Republic of",,,5,,,0.1%,,,
Saudi Arabia,,,5,,,0.1%,,,
Malaysia,,,4,,,0.0%,,,
Guatemala,,,3,,,0.0%,,,
United Arab Emirate,,,3,,,0.0%,,,
Indonesia,,,2,,,0.0%,,,
Kuwait,,,2,,,0.0%,,,
Page 179,,,,,,,,,
