Top 10,,,,,,,,,
Fall 2011  Feeder Patterns Texas A&M University Campus,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,45512,,,,91.3%,,
"China, People's Rep of",,,1244,,,,2.5%,,
India,,,798,,,,1.6%,,
"Korea, Republic of",,,497,,,,1.0%,,
Taiwan,,,199,,,,0.4%,,
Iran,,,134,,,,0.3%,,
Mexico,,,123,,,,0.2%,,
Turkey,,,115,,,,0.2%,,
Saudi Arabia,,,70,,,,0.1%,,
Nepal,,,57,,,,0.1%,,
Texas County   Students  % Total,,,,,,,,,
Harris,,8361,,,16.8%,,,,
Brazos,,2584,,,5.2%,,,,
Tarrant,,2524,,,5.1%,,,,
Bexar,,2477,,,5.0%,,,,
Dallas,,2412,,,4.8%,,,,
Fort Bend,,2152,,,4.3%,,,,
Collin,,1682,,,3.4%,,,,
Travis,,1639,,,3.3%,,,,
Montgomery,,1537,,,3.1%,,,,
Williamson,,1087,,,2.2%,,,,
State,Students  % Total,,,,,,,,
Texas,42895,,,86.0%,,,,,
California,307,,,0.6%,,,,,
Louisiana,157,,,0.3%,,,,,
Florida,132,,,0.3%,,,,,
Illinois,131,,,0.3%,,,,,
Colorado,116,,,0.2%,,,,,
Virginia,94,,,0.2%,,,,,
Oklahoma,87,,,0.2%,,,,,
Pennsylvania,81,,,0.2%,,,,,
New York,81,,,0.2%,,,,,
Page 178,,,,,,,,,
