"Summer 2010
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH BIOL CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
5
1
6
2
2
13
13","Sophomore
1
1
1
1
4
1
9
6
6
6
6
32
32","Junior
1
1
1
3
7
5
1
1
2
10
2
32
17
4
1
22
10
10
14
14","Senior
2
1
1
4
4
4
8
5
4
4
8
3
40
34
3
2
39
16
16","PB
2
2","Total
2
2
1
5
6
7
16
11
1
6
7
23
6
83
64
7
3
1
75
34
34
59
59",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,4,1,5,1,1,5,5,5,
,,,,,,,4,1,5,,,,,5,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,4,
,,,,,,,,1,1,,,,,2,
,,,,,,,,2,2,,,,,2,
,,,,,,,,4,4,1,1,,,10,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,7,
,,,,,,,,,,1,1,,,17,
,,,,,,,,,,,,,,11,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,6,
,,,,,,,,1,1,1,1,,,9,
,,,,,,,,,,2,2,,,25,
,,,,,,,,1,1,,,,,7,
,,,,,,,,2,2,5,5,,,90,
,,,,,,,,2,2,1,1,,,67,
,,,,,,,,2,2,2,2,,,11,
,,,,,,,,2,2,1,1,,,6,
,,,,,,,,1,1,4,4,,,6,
,,,,,,,3,4,7,1,1,,,8,
,,,,,,,3,11,14,9,9,,,98,
,,,,,,,,1,1,,,,,40,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,2,2,,,2,
,,,,,,,,1,1,3,3,5,5,43,
,,,,,,,,,,,,,,59,
,,,,,,,,,,,,,,59,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,
