"Summer 2010
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CSCE CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
1
1
4
4
4
2
6
1
2
4
2
2
4
3
2
1
1
22","Sophomore
6
3
3
2
2
3
1
1
4
3
2
2
2
2
36
4
1
7
2
5
19
1
11
1
13
5
4
9
2
3
4
3
5
7
4
2
1
2
33","Junior
9
10
6
7
2
2
1
3
1
10
3
3
3
5
65
4
2
9
1
16
9
24
8
7
5
53
9
5
20
6
40
6
4
6
10
15
10
10
14
14
5
2
96","Senior
16
33
12
7
10
3
6
5
7
31
20
5
7
2
12
176
8
6
16
3
2
35
23
9
20
12
18
14
96
31
21
54
11
117
13
8
11
14
41
17
32
29
28
6
5
204","PB
1
1
2
1
1
1
1
2","Total
31
46
22
16
15
5
11
9
9
46
26
10
12
4
19
281
16
9
32
5
9
71
33
48
29
19
18
19
166
40
26
84
23
173
22
18
25
26
61
36
49
50
46
13
11
357",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,5,5,1,1,,,37,
,,,,,,,,4,5,5,5,,,56,
,,,,,,,,5,5,1,1,,,28,
,,,,,,,,3,3,,,,,19,
,,,,,,,,5,5,5,5,,,25,
,,,,,,,,,,,,,,5,
,,,,,,,,3,3,2,2,,,16,
,,,,,,,,4,4,7,7,,,20,
,,,,,,,,,,1,1,,,10,
,,,,,,,,4,4,1,1,,,51,
,,,,,,,,4,4,3,3,,,33,
,,,,,,,,2,2,,,,,12,
,,,,,,,,3,3,1,1,,,16,
,,,,,,,,4,4,4,4,,,12,
,,,,,,,,,,9,9,,,28,
,,,,,,,1,46,47,40,40,,,368,
,,,,,,,,4,4,1,1,,,21,
,,,,,,,,,,,,,,9,
,,,,,,,,6,6,,,,,38,
,,,,,,,,4,4,,,,,9,
,,,,,,,,4,4,,,,,13,
,,,,,,,,18,18,1,1,,,90,
,,,,,,,,10,10,2,2,,,45,
,,,,,,,,4,4,,,,,52,
,,,,,,,,4,4,,,,,33,
,,,,,,,,5,5,,,,,24,
,,,,,,,,,,2,2,,,20,
,,,,,,,,1,1,1,1,,,21,
,,,,,,,,24,24,5,5,,,195,
,,,,,,,,10,10,43,43,,,93,
,,,,,,,,21,21,22,22,,,69,
,,,,,,,,5,5,2,2,,,91,
,,,,,,,3,26,29,16,16,,,68,
,,,,,,,3,62,65,83,83,,,321,
,,,,,,,,5,5,5,5,,,32,
,,,,,,,,3,3,,,,,21,
,,,,,,,,4,4,3,3,,,32,
,,,,,,,,3,3,2,2,,,31,
,,,,,,,,10,10,,,,,71,
,,,,,,,,3,3,1,1,,,40,
,,,,,,,,,,,,,,49,
,,,,,,,,6,6,1,1,,,57,
,,,,,,,,10,10,5,5,,,61,
,,,,,,,,2,2,,,,,15,
,,,,,,,,13,13,2,2,,,26,
,,,,,,,,59,59,19,19,,,435,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,
