"Summer 2010
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH BIOL CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
1
2
7
7","Sophomore
1
1
1
1
1
1
7
7","Junior
4
4
1
1
3
1
1
7
1
1","Senior
1
6
7
3
1
1
1
6
1
1
1
3","PB
1
1","Total
1
13
14
1
2
6
1
1
1
1
1
14
2
2
1
1
6
15
15",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,3,11,11,,,3,
,,,,,,,1,2,3,,,,,3,
,,,,,,,,7,7,,,,,18,
,,,,,,,,4,4,5,5,,,10,
,,,,,,,,9,9,15,15,,,37,
,,,,,,,,5,5,21,21,,,26,
,,,,,,,,25,25,52,52,,,91,
,,,,,,,,,,1,1,,,2,
,,,,,,,,,,,,,,2,
,,,,,,,,,,6,6,,,6,
,,,,,,,,12,12,20,20,,,38,
,,,,,,,,,,8,8,,,8,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,,,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,7,7,,,8,
,,,,,,,,3,3,2,2,,,6,
,,,,,,,,1,1,2,2,,,4,
,,,,,,,,19,19,46,46,,,79,
,,,,,,,,7,7,28,28,,,37,
,,,,,,,,50,50,77,77,,,129,
,,,,,,,1,4,5,48,48,,,54,
,,,,,,,,17,17,47,47,,,65,
,,,,,,,,10,10,35,35,,,45,
,,,,,,,1,88,89,235,235,,,330,
,,,,,,,,3,3,1,1,,,4,
,,,,,,,,10,10,8,8,,,18,
,,,,,,,,1,1,4,4,,,5,
,,,,,,,1,4,5,5,5,,,10,
,,,,,,,,5,5,4,4,,,9,
,,,,,,,1,23,24,22,22,,,46,
,,,,,,,,,,,,,,15,
,,,,,,,,,,,,,,15,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,
