"Summer 2010
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH BIOL CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
1
1
1
5
2
1
3
3
3
44
44","Sophomore
1
1
6
2
1
3
2
3
2
19
2
1
3
6
6
33
33","Junior
1
1
1
4
2
1
2
2
2
1
7
5
27
4
2
1
7
1
1
7
7","Senior
1
2
3
1
7
1
4
4
5
11
6
39
6
1
2
9
2
2",PB,"Total
1
2
2
5
1
7
15
2
9
1
6
2
10
2
22
13
90
14
3
2
2
1
22
12
12
84
84",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,5,2,5,1,1,1,1,5,
,,,,,,,5,,5,,,,,5,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,2,
,,,,,,,,,,1,1,,,6,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,7,
,,,,,,,,,2,2,2,,,19,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,7,
,,,,,,,,,,,,,,2,
,,,,,,,,4,4,2,2,,,16,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,3,3,,,26,
,,,,,,,,2,2,7,7,,,22,
,,,,,,,,10,10,14,14,,,114,
,,,,,,,,,,1,1,,,15,
,,,,,,,,3,3,4,4,,,10,
,,,,,,,,,,,,,,2,
,,,,,,,,,,1,1,,,3,
,,,,,,,,1,1,,,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,5,5,6,6,,,33,
,,,,,,,,,,,,,,13,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,2,,2,,,,,2,
,,,,,,,2,,2,2,2,1,1,17,
,,,,,,,,,,,,,,84,
,,,,,,,,,,,,,,84,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,
