"Summer 2010
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH BIOL CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
3
1
2
1
1
2
2
13
6
1
1
3
11
12
12
248
248","Sophomore
4
6
10
4
16
20
8
12
1
16
3
24
2
18
5
129
21
5
1
3
2
32
40
40
261
261","Junior
8
8
21
10
47
15
39
62
44
45
3
7
62
5
66
4
104
26
482
74
7
1
19
7
108
65
65
107
107","Senior
8
14
35
51
108
27
92
113
80
96
2
9
108
17
90
10
145
57
846
129
31
4
25
5
194
158
158","PB
1
1
1
3
1
1
1
2
1
3
1
4
1
15
2
1
1
1
5","Total
17
23
60
68
168
47
1
151
196
135
156
6
18
191
25
181
16
271
91
1,485
232
45
6
49
18
350
275
275
616
616",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,43,17,60,5,5,112,112,60,
,,,,,,,43,17,60,,,,,60,
,,,,,,,,14,14,,,,,36,
,,,,,,,,,,,,,,23,
,,,,,,,,12,12,5,5,,,77,
,,,,,,,,11,11,8,8,,,87,
,,,,,,,,18,18,16,16,,,34,
,,,,,,,,55,55,34,34,,,257,
,,,,,,,,4,4,7,7,,,58,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,151,
,,,,,,,,4,4,12,12,,,212,
,,,,,,,,5,5,2,2,,,142,
,,,,,,,1,7,8,23,23,,,187,
,,,,,,,,,,,,,,6,
,,,,,,,,3,3,3,3,,,24,
,,,,,,,1,8,9,4,4,,,204,
,,,,,,,,1,1,3,3,,,29,
,,,,,,,,11,11,16,16,,,208,
,,,,,,,,,,,,,,16,
,,,,,,,,13,13,34,34,,,318,
,,,,,,,,2,2,12,12,,,105,
,,,,,,,2,58,60,116,116,,,"1,661",
,,,,,,,1,15,16,35,35,,,283,
,,,,,,,,44,44,53,53,,,142,
,,,,,,,,,,,,,,6,
,,,,,,,4,17,21,14,14,,,84,
,,,,,,,,17,17,25,25,,,60,
,,,,,,,4,22,26,13,13,,,39,
,,,,,,,9,115,124,140,140,,,614,
,,,,,,,,6,6,,,,,393,
,,,,,,,1,10,11,9,9,,,20,
,,,,,,,,3,3,,,,,3,
,,,,,,,,9,9,12,12,,,21,
,,,,,,,3,5,8,8,8,,,16,
,,,,,,,4,33,37,29,29,112,112,453,
,,,,,,,,,,,,,,616,
,,,,,,,,,,,,,,616,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,
