"Summer 2010
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CSCE CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
3
1
1
1
1
1
9
5
1
2
8
17
17
6
4
10
5
5
1
6
11
8
2
1
10
2
3
54","Sophomore
20
27
20
4
4
5
3
3
4
11
5
7
10
6
5
134
12
22
4
5
43
59
3
1
63
3
3
40
17
63
9
11
14
8
15
13
14
16
23
12
14
149","Junior
104
107
46
18
10
8
5
21
15
51
11
15
47
14
25
497
17
4
63
9
7
100
120
134
78
30
28
49
439
41
17
149
91
298
39
21
46
2
21
53
28
62
57
72
28
25
454","Senior
109
237
109
49
35
13
19
33
24
110
45
30
64
20
48
945
25
16
134
9
8
192
231
60
107
64
82
106
650
2
133
27
394
217
773
64
36
103
60
147
48
175
74
170
35
20
932","PB
3
2
2
1
1
5
1
15
3
3
3
1
4
4
1
5
2
1
1
2
1
1
1
9","Total
237
376
178
72
51
26
27
58
44
177
61
53
122
40
78
1,600
59
20
223
22
22
346
351
270
191
94
111
156
1,173
2
177
47
593
330
1,149
117
75
165
2
96
228
98
253
148
276
77
63
1,598",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,32,32,4,4,,,273,
,,,,,,,,48,48,20,20,,,444,
,,,,,,,,45,47,18,18,,,243,
,,,,,,,,16,16,4,4,,,92,
,,,,,,,,9,9,47,47,,,107,
,,,,,,,,2,2,,,,,28,
,,,,,,,1,9,10,15,15,,,52,
,,,,,,,,16,16,10,10,,,84,
,,,,,,,,12,12,3,3,,,59,
,,,,,,,1,24,25,6,6,,,208,
,,,,,,,,2,2,6,6,,,69,
,,,,,,,,13,13,,,,,66,
,,,,,,,,9,9,2,2,,,133,
,,,,,,,,23,23,18,18,,,81,
,,,,,,,,30,30,17,17,,,125,
,,,,,,,4,290,294,170,170,,,"2,064",
,,,,,,,,30,30,3,3,,,92,
,,,,,,,,,,,,,,20,
,,,,,,,,5,5,,,,,228,
,,,,,,,1,22,23,1,1,,,46,
,,,,,,,,17,17,,,,,39,
,,,,,,,1,74,75,4,4,,,425,
,,,,,,,,75,75,13,13,,,439,
,,,,,,,,11,11,,,,,281,
,,,,,,,,94,94,6,6,,,291,
,,,,,,,,32,32,,,,,126,
,,,,,,,,12,12,8,8,,,131,
,,,,,,,,36,36,1,1,,,193,
,,,,,,,,260,260,28,28,,,"1,461",
,,,,,,,,,,,,,,2,
,,,,,,,3,61,64,89,89,,,330,
,,,,,,,,41,41,62,62,,,150,
,,,,,,,1,37,38,32,32,,,663,
,,,,,,,5,134,139,78,78,,,547,
,,,,,,,9,273,282,261,261,,,"1,692",
,,,,,,,,37,37,26,26,,,180,
,,,,,,,,12,12,12,12,,,99,
,,,,,,,,10,10,17,17,,,192,
,,,,,,,,,,4,4,,,6,
,,,,,,,,14,14,18,18,,,128,
,,,,,,,,54,54,16,16,,,298,
,,,,,,,,17,17,14,14,,,129,
,,,,,,,,,,,,,,253,
,,,,,,,,14,14,7,7,,,169,
,,,,,,,,40,40,20,20,,,336,
,,,,,,,,28,28,17,17,,,122,
,,,,,,,,29,29,3,3,,,95,
,,,,,,,,255,255,154,154,,,"2,007",
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,
