"Summer 2010
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CSCE CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
2
1
1
2
3
3
1
3
4
1
1
1
1
2
6","Sophomore
1
8
1
3
1
1
15
1
1
1
3
1
8
1
10
1
1
3
1
2
2
1
11","Junior
1
21
1
1
2
2
2
1
2
1
34
2
5
1
3
5
16
2
6
3
11
1
2
4
2
4
1
4
2
1
1
22","Senior
3
19
1
1
1
1
7
2
35
2
1
3
7
3
4
7
4
25
6
2
22
4
34
3
1
1
3
8
14
5
2
1
1
39","PB
1
1
1
1","Total
5
50
1
2
3
5
2
1
9
1
5
2
86
1
2
3
1
1
8
9
8
4
7
12
4
44
10
2
40
8
60
2
2
7
1
9
6
15
17
11
5
2
2
79",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,3,2,2,,,7,
,,,,,,,,,,4,4,,,57,
,,,,,,,,1,1,2,2,,,4,
,,,,,,,,,,3,3,,,5,
,,,,,,,,2,2,,,,,5,
,,,,,,,,,,,,,,5,
,,,,,,,,1,1,,,,,3,
,,,,,,,,,,2,2,,,2,
,,,,,,,,,,1,1,,,2,
,,,,,,,,1,1,,,,,10,
,,,,,,,,,,1,1,,,2,
,,,,,,,,,,2,2,,,7,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,1,1,2,2,,,5,
,,,,,,,1,9,10,20,20,,,116,
,,,,,,,,2,2,,,,,3,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,4,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,4,4,,,,,12,
,,,,,,,,3,3,,,,,12,
,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,4,
,,,,,,,,1,1,,,,,8,
,,,,,,,,1,1,1,1,,,14,
,,,,,,,,2,2,,,,,6,
,,,,,,,,7,7,1,1,,,52,
,,,,,,,1,13,14,25,25,,,49,
,,,,,,,,4,4,14,14,,,20,
,,,,,,,,4,4,3,3,,,47,
,,,,,,,2,5,7,39,39,,,54,
,,,,,,,3,26,29,81,81,,,170,
,,,,,,,,2,2,,,,,4,
,,,,,,,,1,1,,,,,3,
,,,,,,,,,,1,1,,,8,
,,,,,,,,,,1,1,,,2,
,,,,,,,,1,1,2,2,,,12,
,,,,,,,,1,1,,,,,7,
,,,,,,,,,,2,2,,,17,
,,,,,,,,,,,,,,17,
,,,,,,,,1,1,2,2,,,14,
,,,,,,,,5,5,4,4,,,14,
,,,,,,,,,,1,1,,,3,
,,,,,,,,6,6,2,2,,,10,
,,,,,,,,17,17,15,15,,,111,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,
