"Summer 2010
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CSCE CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
1
3
1
1
1
1
1
5","Sophomore
1
3
3
1
8
1
1
1
2
3","Junior
7
1
1
9
1
1
1
1
5
2
2
2
1
1
13","Senior
2
3
2
7
1
1
1
1
1
4
1
1
9",PB,"Total
1
12
9
5
27
1
1
2
1
1
1
1
1
6
2
4
7
6
2
2
30",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,,1,1,2,2,,,1,
,,,,,,,,,,,,,,14,
,,,,,,,,,,1,1,,,10,
,,,,,,,,,,1,1,,,6,
,,,,,,,,,,4,4,,,31,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,3,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,,,,,2,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,2,2,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,2,2,,,2,
,,,,,,,,,,5,5,,,6,
,,,,,,,,,,1,1,,,2,
,,,,,,,,,,,,,,6,
,,,,,,,,1,1,,,,,3,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,7,
,,,,,,,,,,1,1,,,7,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,3,
,,,,,,,,4,4,,,,,4,
,,,,,,,,6,6,2,2,,,38,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,
