"Summer 2010
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CSCE CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
2
2
5","Sophomore
1
1
1
1
1
1
1
1
1
1
2
1
2
2
2
5
18","Junior
2
1
2
1
1
7
1
1
1
3
1
1
1
7
1
3
3
2
5
2
3
3
2
11
35","Senior
2
1
1
1
1
6
1
3
1
5
5
2
2
2
11
1
1
1
1
4
2
19
7
4
13
6
11
8
3
13
86","PB
1
1","Total
2
2
1
2
1
1
2
1
1
1
14
1
3
2
6
6
7
3
3
1
20
2
1
1
1
5
2
3
22
11
8
22
9
16
13
9
30
145",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,,21,21,36,36,,,59,
,,,,,,,,,,3,3,,,5,
,,,,,,,,6,6,8,8,,,14,
,,,,,,,,14,14,9,9,,,23,
,,,,,,,,17,17,27,27,,,45,
,,,,,,,,1,1,,,,,3,
,,,,,,,,2,2,8,8,,,11,
,,,,,,,,3,3,6,6,,,9,
,,,,,,,,5,5,13,13,,,19,
,,,,,,,,8,8,14,14,,,24,
,,,,,,,,4,4,7,7,,,12,
,,,,,,,,6,6,7,7,,,13,
,,,,,,,,,,6,6,,,7,
,,,,,,,,8,8,26,26,,,34,
,,,,,,,,2,2,6,6,,,9,
,,,,,,,,97,97,176,176,,,287,
,,,,,,,,13,13,10,10,,,23,
,,,,,,,,,,,,,,1,
,,,,,,,,41,41,,,,,44,
,,,,,,,,19,19,9,9,,,28,
,,,,,,,,9,9,,,,,11,
,,,,,,,,82,82,19,19,,,107,
,,,,,,,,1,1,1,1,,,8,
,,,,,,,,12,12,,,,,19,
,,,,,,,,3,3,8,8,,,14,
,,,,,,,,36,36,4,4,,,40,
,,,,,,,,2,2,3,3,,,8,
,,,,,,,,3,3,9,9,,,13,
,,,,,,,,57,57,25,25,,,102,
,,,,,,,,6,6,8,8,,,16,
,,,,,,,,8,8,19,19,,,28,
,,,,,,,,11,11,11,11,,,23,
,,,,,,,,7,7,12,12,,,20,
,,,,,,,,32,32,50,50,,,87,
,,,,,,,,10,10,27,27,,,39,
,,,,,,,,10,10,16,16,,,29,
,,,,,,,,40,40,79,79,,,141,
,,,,,,,,,,1,1,,,1,
,,,,,,,,68,68,54,54,,,133,
,,,,,,,,63,63,81,81,,,152,
,,,,,,,,108,108,122,122,,,252,
,,,,,,,,,,,,,,9,
,,,,,,,,50,50,32,32,,,98,
,,,,,,,,89,89,89,89,,,191,
,,,,,,,,10,10,13,13,,,32,
,,,,,,,,101,101,60,60,,,191,
,,,,,,,,549,549,574,574,,,"1,268",
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,
