Top 10,,,,,,,,,
Fall 1999  Feeder Patterns Main Campus,,,,,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,6929,,,16.0%,,,,
Brazos,,2682,,,6.2%,,,,
Dallas,,2558,,,5.9%,,,,
Bexar,,2153,,,5.0%,,,,
Tarrant,,2125,,,4.9%,,,,
Collin,,1124,,,2.6%,,,,
Fort Bend,,1103,,,2.5%,,,,
Travis,,1061,,,2.4%,,,,
Montgomery,,1022,,,2.4%,,,,
Denton,,659,,,1.5%,,,,
State,Students  % Total,,,,,,,,
Texas,37735,,,86.9%,,,,,
Louisiana,444,,,1.0%,,,,,
California,249,,,0.6%,,,,,
Oklahoma,120,,,0.3%,,,,,
Illinois,108,,,0.2%,,,,,
New Mexico,106,,,0.2%,,,,,
Arkansas,100,,,0.2%,,,,,
Florida,91,,,0.2%,,,,,
New York,84,,,0.2%,,,,,
Missouri,79,,,0.2%,,,,,
Country,,,Students  % Total,,,,,,
United States,,,40158,,,,92.4%,,
"China, People's Rep of",,,502,,,,1.2%,,
India,,,486,,,,1.1%,,
"Korea, Republic of",,,463,,,,1.1%,,
Mexico,,,156,,,,0.4%,,
Taiwan,,,123,,,,0.3%,,
Indonesia,,,88,,,,0.2%,,
Turkey,,,74,,,,0.2%,,
Japan,,,56,,,,0.1%,,
Thailand,,,56,,,,0.1%,,
65,,,,,,,,,
