"Spring 2010
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CSCE CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
2
1
2
1
7
2
2
4
21
21
2
17
7
26
4
2
4
12
5
10
4
2
4
2
49","Sophomore
5
1
4
5
1
2
3
1
22
1
1
28
1
1
30
10
5
15
2
3
7
6
5
7
1
3
5
1
40","Junior
3
13
2
1
3
1
3
2
2
3
33
1
2
3
1
7
2
5
4
4
7
22
2
1
10
3
16
2
1
5
1
5
4
4
6
11
5
2
1
47","Senior
3
33
3
3
2
2
1
1
6
8
3
1
4
70
5
2
4
2
13
15
1
5
5
8
6
40
10
3
30
11
54
2
1
3
5
5
11
18
7
1
3
5
61","PB
1
1","Total
6
52
7
6
9
10
2
1
11
10
2
8
4
5
133
6
2
8
7
2
25
17
55
9
10
16
6
113
14
4
67
26
111
10
7
19
1
28
19
32
29
23
15
8
6
197",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,3,1,1,1,1,,,8,
,,,,,,,,3,6,8,8,,,66,
,,,,,,,,1,1,2,2,,,10,
,,,,,,,,1,1,2,2,,,9,
,,,,,,,,3,3,,,,,12,
,,,,,,,,,,,,,,10,
,,,,,,,,2,2,,,,,4,
,,,,,,,,1,1,2,2,,,4,
,,,,,,,,,,2,2,,,13,
,,,,,,,,1,1,,,,,11,
,,,,,,,,,,1,1,,,3,
,,,,,,,,,,2,2,,,10,
,,,,,,,,1,1,2,2,,,7,
,,,,,,,,4,4,2,2,,,11,
,,,,,,,3,18,21,24,24,,,178,
,,,,,,,,3,3,,,,,9,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,8,
,,,,,,,,1,1,3,3,,,11,
,,,,,,,,,,,,,,2,
,,,,,,,,4,4,3,3,,,32,
,,,,,,,,4,4,,,,,21,
,,,,,,,,7,7,,,,,62,
,,,,,,,,,,,,,,9,
,,,,,,,,2,2,,,,,12,
,,,,,,,,2,2,1,1,,,19,
,,,,,,,,2,2,,,,,8,
,,,,,,,,17,17,1,1,,,131,
,,,,,,,6,18,24,43,43,,,81,
,,,,,,,,8,8,16,16,,,28,
,,,,,,,,4,4,7,7,,,78,
,,,,,,,,6,6,52,52,,,84,
,,,,,,,6,36,42,118,118,,,271,
,,,,,,,,2,2,,,,,12,
,,,,,,,,2,2,,,,,9,
,,,,,,,,2,2,2,2,,,23,
,,,,,,,,,,1,1,,,2,
,,,,,,,,2,2,4,4,,,34,
,,,,,,,1,1,2,1,1,,,22,
,,,,,,,,2,2,3,3,,,37,
,,,,,,,,1,1,,,,,30,
,,,,,,,,2,2,3,3,,,28,
,,,,,,,,5,5,6,6,,,26,
,,,,,,,,2,2,1,1,,,11,
,,,,,,,,6,6,3,3,,,15,
,,,,,,,1,27,28,24,24,,,249,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,
