"Spring 2010
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CSCE CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
2
1
1
1
6
1
1
2
1
1
1
1
8","Sophomore
1
1
1
3
1
1
3
3
2
2
1
1
3
1
6","Junior
4
1
1
6
1
3
4
1
1
2
4
7
7
1
1
2
1
1
2
8","Senior
1
3
2
1
1
2
2
2
1
15
1
3
4
4
5
1
3
13
3
2
1
6
2
5
3
1
2
3
16",PB,"Total
2
8
5
1
1
1
1
2
2
3
2
1
1
30
2
7
9
5
4
7
1
3
20
3
9
3
15
1
5
6
6
6
1
4
6
1
2
38",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,,,2,
,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,2,
,,,,,,,,2,2,,,,,3,
,,,,,,,,5,5,1,1,,,36,
,,,,,,,,,,1,1,,,3,
,,,,,,,,,,,,,,7,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,1,1,,,11,
,,,,,,,,2,2,,,,,7,
,,,,,,,,,,,,,,4,
,,,,,,,,2,2,,,,,9,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,3,
,,,,,,,,5,5,,,,,25,
,,,,,,,,,,2,2,,,2,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,,,,,10,
,,,,,,,,1,2,2,2,,,7,
,,,,,,,1,2,3,4,4,,,22,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,6,
,,,,,,,,1,1,1,1,,,8,
,,,,,,,,1,1,,,,,7,
,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,5,
,,,,,,,,,,1,1,,,7,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,4,4,2,2,,,44,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,
