"Spring 2010
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
1
2
5
1
1
2
3
3
3
3","Sophomore
2
1
1
1
2
2
9
2
2
1
1
11
11","Junior
1
1
1
1
1
2
2
1
1
9
1
1
2
1
1","Senior
3
1
1
1
1
5
12
1
1
1
1",PB,"Total
1
1
1
5
3
3
1
1
4
6
10
1
35
5
1
1
7
5
5
15
15",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,9,1,10,1,1,4,4,10,
,,,,,,,9,1,10,,,,,10,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,3,3,2,2,,,6,
,,,,,,,1,,1,1,1,,,3,
,,,,,,,,,,,,,,5,
,,,,,,,,,,1,1,,,4,
,,,,,,,,1,1,,,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,2,2,,,6,
,,,,,,,,3,3,,,,,3,
,,,,,,,,,,,,,,6,
,,,,,,,,,,1,1,,,11,
,,,,,,,,2,2,1,1,,,4,
,,,,,,,1,6,7,6,6,,,48,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,1,
,,,,,,,1,3,4,,,,,5,
,,,,,,,,,,2,2,,,2,
,,,,,,,2,3,5,,,,,5,
,,,,,,,3,6,9,2,2,,,18,
,,,,,,,,,,,,,,9,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,4,4,10,
,,,,,,,,,,,,,,15,
,,,,,,,,,,,,,,15,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,
