"Spring 2010
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CSCE CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
3
3
8
3
3
1
14
2
1
8
4
2
2
6
60
15
6
8
6
35
71
71
6
21
14
41
20
20
29
25
35
34
6
6
21
8
13
217","Sophomore
6
7
21
5
4
4
8
8
5
7
4
3
5
2
12
101
12
1
19
8
2
42
85
85
3
9
43
21
76
19
6
14
20
19
28
13
25
20
6
7
177","Junior
14
25
25
11
8
7
3
6
4
26
11
8
14
3
14
179
18
5
17
7
5
52
14
40
16
17
12
25
124
18
17
64
21
120
15
8
21
18
48
24
33
38
30
8
13
256","Senior
31
44
26
10
16
8
13
7
12
54
26
12
9
4
23
295
32
7
33
17
6
95
35
9
48
27
31
31
181
25
31
114
45
215
27
15
23
22
68
36
80
55
39
9
14
388","PB
1
1
2
1
1
2
1
3","Total
54
79
81
29
31
20
38
23
23
95
45
25
28
11
55
637
77
13
75
40
19
224
49
205
64
44
43
56
461
46
63
242
102
453
81
49
87
85
170
124
132
124
111
31
47
1,041",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,6,6,1,1,,,61,
,,,,,,,,9,9,3,3,,,91,
,,,,,,,,8,8,,,,,89,
,,,,,,,,3,3,,,,,32,
,,,,,,,,6,6,5,5,,,42,
,,,,,,,,,,,,,,20,
,,,,,,,,3,3,2,2,,,43,
,,,,,,,,4,6,8,8,,,37,
,,,,,,,,1,1,1,1,,,25,
,,,,,,,,4,4,,,,,99,
,,,,,,,,3,3,3,3,,,51,
,,,,,,,,2,2,,,,,27,
,,,,,,,,3,3,1,1,,,32,
,,,,,,,,4,4,5,5,,,20,
,,,,,,,,10,10,10,10,,,75,
,,,,,,,2,66,68,39,39,,,744,
,,,,,,,1,9,10,2,2,,,89,
,,,,,,,,,,,,,,13,
,,,,,,,,,,,,,,75,
,,,,,,,,6,6,3,3,,,49,
,,,,,,,,6,6,,,,,25,
,,,,,,,1,21,22,5,5,,,251,
,,,,,,,,13,13,,,,,62,
,,,,,,,,11,11,,,,,216,
,,,,,,,,9,9,,,,,73,
,,,,,,,,2,2,,,,,46,
,,,,,,,,9,9,,,,,52,
,,,,,,,,3,3,,,,,59,
,,,,,,,,47,47,,,,,508,
,,,,,,,2,15,17,62,62,,,125,
,,,,,,,,28,28,34,34,,,125,
,,,,,,,,5,5,2,2,,,249,
,,,,,,,1,23,24,23,23,,,149,
,,,,,,,3,71,74,121,121,,,648,
,,,,,,,,4,4,5,5,,,90,
,,,,,,,,3,3,1,1,,,53,
,,,,,,,,4,4,2,2,,,93,
,,,,,,,,,,1,1,,,1,
,,,,,,,,5,5,3,3,,,93,
,,,,,,,1,12,13,1,1,,,184,
,,,,,,,1,10,11,5,5,,,140,
,,,,,,,,3,3,,,,,135,
,,,,,,,,12,12,2,2,,,138,
,,,,,,,,13,13,7,7,,,131,
,,,,,,,,2,2,2,2,,,35,
,,,,,,,,11,11,2,2,,,60,
,,,,,,,2,79,81,31,31,,,"1,153",
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,
