"Spring 2010
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CSCE CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
8
3
1
1
1
16
2
3
1
6
22
22
1
1
3
5
10
17
13
6
8
12
6
5
2
6
85","Sophomore
3
4
4
12
1
5
1
2
1
1
34
1
1
1
24
1
26
2
5
4
11
4
11
9
6
7
13
6
3
7
6
7
79","Junior
3
2
2
1
8
7
4
1
3
3
34
2
2
2
6
17
18
12
11
4
5
67
6
11
7
24
5
9
23
11
10
25
8
3
13
2
4
113","Senior
2
2
2
7
16
1
1
15
9
5
4
1
65
6
6
4
2
18
28
6
28
17
5
10
94
13
2
15
12
42
8
18
29
13
22
32
27
14
22
8
16
209","PB
1
1
2
2
2
1
1
1
3","Total
9
4
9
13
45
1
4
1
28
15
1
10
6
5
151
11
11
6
3
31
46
70
41
28
9
15
209
22
3
34
25
84
27
56
75
37
47
82
41
26
47
18
33
489",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,,,11,
,,,,,,,,,,1,1,,,5,
,,,,,,,,1,1,,,,,10,
,,,,,,,,1,1,2,2,,,16,
,,,,,,,,2,2,,,,,47,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,4,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,2,
,,,,,,,,1,1,1,1,,,30,
,,,,,,,,,,,,,,15,
,,,,,,,,2,2,,,,,3,
,,,,,,,,,,1,1,,,11,
,,,,,,,,,,2,2,,,8,
,,,,,,,,1,1,,,,,6,
,,,,,,,,11,11,8,8,,,170,
,,,,,,,,2,3,3,3,,,17,
,,,,,,,,1,1,,,,,12,
,,,,,,,,,,2,2,,,8,
,,,,,,,,6,6,,,,,9,
,,,,,,,1,9,10,5,5,,,46,
,,,,,,,,6,6,2,2,,,54,
,,,,,,,,13,13,,,,,83,
,,,,,,,,10,10,1,1,,,52,
,,,,,,,,2,2,,,,,30,
,,,,,,,,,,1,1,,,10,
,,,,,,,,1,1,,,,,16,
,,,,,,,,32,32,4,4,,,245,
,,,,,,,1,5,6,4,4,,,32,
,,,,,,,,4,4,8,8,,,15,
,,,,,,,,4,4,4,4,,,42,
,,,,,,,1,1,2,3,3,,,30,
,,,,,,,2,14,16,19,19,,,119,
,,,,,,,,2,2,2,2,,,31,
,,,,,,,,3,3,2,2,,,61,
,,,,,,,,1,1,1,1,,,77,
,,,,,,,,6,6,6,6,,,49,
,,,,,,,,4,4,6,6,,,57,
,,,,,,,,12,12,7,7,,,101,
,,,,,,,,,,,,,,41,
,,,,,,,,2,2,,,,,28,
,,,,,,,,8,8,5,5,,,60,
,,,,,,,,6,6,1,1,,,25,
,,,,,,,,12,12,1,1,,,46,
,,,,,,,,56,56,31,31,,,576,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,
