"Spring 2010
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CSCE CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
3
3
1
2
3
1
2
3
3
6
1
2
5
1
24","Sophomore
3
2
1
1
1
8
4
4
1
1
3
4
4
6
7
5
6
4
16
55","Junior
1
1
2
1
2
1
8
1
1
2
7
4
4
1
16
1
1
1
1
11
10
7
17
3
9
4
3
18
84","Senior
2
2
2
2
3
1
1
2
4
1
1
21
7
1
2
1
11
8
1
1
6
16
1
3
2
6
7
4
29
7
6
21
10
18
14
3
38
157","PB
1
1
2","Total
5
3
3
4
7
1
2
2
6
3
2
1
39
7
1
3
2
13
15
12
5
1
6
39
2
1
5
3
11
11
6
47
24
22
51
13
33
26
15
74
322",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,50,50,55,55,,,110,
,,,,,,,,3,3,2,2,,,8,
,,,,,,,,9,9,7,7,,,19,
,,,,,,,,24,24,16,16,,,44,
,,,,,,,,20,20,30,30,,,57,
,,,,,,,,,,,,,,1,
,,,,,,,,3,3,8,8,,,11,
,,,,,,,,4,4,7,7,,,13,
,,,,,,,,7,7,13,13,,,22,
,,,,,,,,15,15,13,13,,,34,
,,,,,,,,5,5,10,10,,,18,
,,,,,,,,10,10,8,8,,,18,
,,,,,,,,3,3,19,19,,,24,
,,,,,,,,13,13,24,24,,,38,
,,,,,,,,6,6,16,16,,,22,
,,,,,,,,172,172,228,228,,,439,
,,,,,,,,39,39,25,25,,,71,
,,,,,,,,,,,,,,1,
,,,,,,,,69,69,,,,,72,
,,,,,,,,57,57,35,35,,,92,
,,,,,,,,13,13,,,,,15,
,,,,,,,,178,178,60,60,,,251,
,,,,,,,,5,5,1,1,,,21,
,,,,,,,,23,23,,,,,35,
,,,,,,,,4,4,8,8,,,17,
,,,,,,,,74,74,5,5,,,80,
,,,,,,,,5,5,5,5,,,16,
,,,,,,,,4,4,9,9,,,13,
,,,,,,,,115,115,28,28,,,182,
,,,,,,,,13,13,13,13,,,28,
,,,,,,,,17,17,23,23,,,41,
,,,,,,,,15,16,16,16,,,37,
,,,,,,,,14,14,37,37,,,54,
,,,,,,,1,59,60,89,89,,,160,
,,,,,,,,13,13,26,26,,,50,
,,,,,,,1,15,16,20,20,,,42,
,,,,,,,,47,47,83,83,,,177,
,,,,,,,1,123,124,75,75,,,223,
,,,,,,,,146,146,104,104,,,272,
,,,,,,,2,204,206,184,184,,,441,
,,,,,,,,,,,,,,13,
,,,,,,,,151,151,46,46,,,230,
,,,,,,,3,156,159,136,136,,,321,
,,,,,,,,15,15,15,15,,,45,
,,,,,,,,127,127,72,72,,,273,
,,,,,,,7,997,"1,004",761,761,,,"2,087",
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,
