"Spring 2010
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CSCE CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
1
1
1
2
1
2
1
1
8","Sophomore
8
1
1
1
2
1
1
1
2
18
1
1
2
1
2
1
4
4
1
3
1
9","Junior
3
2
1
2
1
3
12
1
1
2
1
2
1
4
4
3
5
12
1
1
1
2
2
1
8","Senior
1
1
1
1
2
1
1
1
9
1
1
2
1
3
1
1
2
4
1
1
1
1
1
2
2
4
13","PB
1
1","Total
12
4
2
1
1
1
3
5
1
3
2
5
40
4
2
1
7
2
2
1
2
1
8
5
2
7
6
20
2
1
3
2
6
4
7
6
3
4
38",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,,1,1,1,1,,,13,
,,,,,,,,,,,,,,4,
,,,,,,,,,,1,1,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,,,2,2,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,,,,,4,
,,,,,,,,1,1,,,,,6,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,4,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,5,
,,,,,,,,3,3,7,7,,,50,
,,,,,,,,1,1,,,,,5,
,,,,,,,,,,,,,,2,
,,,,,,,,2,2,,,,,2,
,,,,,,,,1,1,,,,,2,
,,,,,,,,4,4,,,,,11,
,,,,,,,,2,2,2,2,,,4,
,,,,,,,,16,16,,,,,18,
,,,,,,,,1,1,1,1,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,,,2,2,,,4,
,,,,,,,,,,1,1,,,2,
,,,,,,,,19,19,6,6,,,33,
,,,,,,,,,,4,4,,,9,
,,,,,,,,,,2,2,,,4,
,,,,,,,,,,,,,,7,
,,,,,,,,3,3,3,3,,,12,
,,,,,,,,3,3,9,9,,,32,
,,,,,,,,2,2,1,1,,,5,
,,,,,,,,1,1,,,,,2,
,,,,,,,,2,2,1,1,,,6,
,,,,,,,,,,2,2,,,4,
,,,,,,,,3,3,,,,,9,
,,,,,,,,,,2,2,,,6,
,,,,,,,,,,,,,,7,
,,,,,,,,,,1,1,,,7,
,,,,,,,,2,2,,,,,5,
,,,,,,,,6,6,,,,,10,
,,,,,,,,16,16,7,7,,,61,
"Prepared by OISP, 05 May 10",,,,,,,,,,,,,,,
